Country Name,Country Code,Year,Ratio
Afghanistan,AFG,2016,25.37977373
Albania,ALB,2016,73.32430708
Algeria,DZA,2016,22.32167669
Angola,AGO,2016,94.11382818
Argentina,ARG,2016,66.45121576
Armenia,ARM,2016,80.45735351
Australia,AUS,2016,83.1052602
Austria,AUT,2016,83.16193423
Azerbaijan,AZE,2016,92.14527027
"Bahamas, The",BHS,2016,84.02120553
Bahrain,BHR,2016,50.02479958
Bangladesh,BGD,2016,41.53165874
Barbados,BRB,2016,88.7207347
Belarus,BLR,2016,82.65655612
Belgium,BEL,2016,81.49574244
Belize,BLZ,2016,60.7131623
Benin,BEN,2016,95.92236372
Bhutan,BTN,2016,78.58991037
Bolivia,BOL,2016,73.17273404
Bosnia and Herzegovina,BIH,2016,62.75432107
Botswana,BWA,2016,82.44668385
Brazil,BRA,2016,70.43059041
Brunei Darussalam,BRN,2016,78.6380891
Bulgaria,BGR,2016,81.05837534
Burkina Faso,BFA,2016,77.83373905
Burundi,BDI,2016,103.3769955
Cabo Verde,CPV,2016,78.07092839
Cambodia,KHM,2016,85.01765966
Cameroon,CMR,2016,85.44917042
Canada,CAN,2016,85.94203716
Central African Republic,CAF,2016,79.6167923
Chad,TCD,2016,69.30300243
Channel Islands,CHI,2016,76.48505261
Chile,CHL,2016,67.61737959
China,CHN,2016,82.45937718
Colombia,COL,2016,69.6705292
Comoros,COM,2016,59.50479934
"Congo, Dem. Rep.",COD,2016,89.53458362
"Congo, Rep.",COG,2016,95.47787687
Costa Rica,CRI,2016,65.8268462
Cote d'Ivoire,CIV,2016,79.76512733
Croatia,HRV,2016,78.88308924
Cuba,CUB,2016,64.67617217
Cyprus,CYP,2016,85.44989228
Czechia,CZE,2016,75.32263049
Denmark,DNK,2016,85.97857986
Djibouti,DJI,2016,37.25674238
Dominican Republic,DOM,2016,63.20065094
Ecuador,ECU,2016,65.13936473
"Egypt, Arab Rep.",EGY,2016,32.14456813
El Salvador,SLV,2016,60.43749832
Equatorial Guinea,GNQ,2016,79.57259492
Eritrea,ERI,2016,85.29941731
Estonia,EST,2016,80.84665139
Eswatini,SWZ,2016,83.51244898
Ethiopia,ETH,2016,81.66185442
Fiji,FJI,2016,52.20613177
Finland,FIN,2016,88.96864011
France,FRA,2016,83.91133946
French Polynesia,PYF,2016,77.86084688
Gabon,GAB,2016,70.14109377
"Gambia, The",GMB,2016,86.72400101
Georgia,GEO,2016,73.52396114
Germany,DEU,2016,82.16393245
Ghana,GHA,2016,88.47090185
Greece,GRC,2016,74.58327687
Guam,GUM,2016,82.17603412
Guatemala,GTM,2016,45.97892269
Guinea,GIN,2016,72.69295948
Guinea-Bissau,GNB,2016,79.4144246
Guyana,GUY,2016,59.58966107
Haiti,HTI,2016,88.10352203
Honduras,HND,2016,57.02822561
"Hong Kong SAR, China",HKG,2016,79.58659366
Hungary,HUN,2016,78.82780411
Iceland,ISL,2016,90.45764968
India,IND,2016,34.07818366
Indonesia,IDN,2016,61.55077102
"Iran, Islamic Rep.",IRN,2016,20.92701336
Iraq,IRQ,2016,19.44989368
Ireland,IRL,2016,79.40571395
Israel,ISR,2016,84.39066163
Italy,ITA,2016,67.23046202
Jamaica,JAM,2016,80.50400979
Japan,JPN,2016,70.37416855
Jordan,JOR,2016,22.92713356
Kazakhstan,KAZ,2016,87.22348325
Kenya,KEN,2016,92.33566253
"Korea, Dem. People's Rep.",PRK,2016,89.31951537
"Korea, Rep.",KOR,2016,71.96368232
Kuwait,KWT,2016,56.94361609
Kyrgyz Republic,KGZ,2016,71.82528736
Lao PDR,LAO,2016,87.98553379
Latvia,LVA,2016,80.16291043
Lebanon,LBN,2016,38.0637262
Lesotho,LSO,2016,75.92131093
Liberia,LBR,2016,87.53848588
Libya,LBY,2016,53.2118245
Lithuania,LTU,2016,83.88767301
Luxembourg,LUX,2016,82.79962147
"Macao SAR, China",MAC,2016,86.44158628
Madagascar,MDG,2016,93.69393704
Malawi,MWI,2016,87.66009488
Malaysia,MYS,2016,65.01189593
Maldives,MDV,2016,57.18160701
Mali,MLI,2016,76.75121303
Malta,MLT,2016,63.02834957
Mauritania,MRT,2016,45.18401843
Mauritius,MUS,2016,62.44882568
Mexico,MEX,2016,55.91080338
Moldova,MDA,2016,97.53129786
Mongolia,MNG,2016,80.74749123
Montenegro,MNE,2016,77.78958375
Morocco,MAR,2016,34.5697582
Mozambique,MOZ,2016,97.5653303
Myanmar,MMR,2016,64.34325522
Namibia,NAM,2016,86.25857213
Nepal,NPL,2016,48.88973343
Netherlands,NLD,2016,84.01454606
New Caledonia,NCL,2016,85.32309283
New Zealand,NZL,2016,84.67258497
Nicaragua,NIC,2016,58.29586683
Niger,NER,2016,72.83018868
Nigeria,NGA,2016,90.50386457
North Macedonia,MKD,2016,63.69809389
Norway,NOR,2016,91.02578996
Oman,OMN,2016,33.99652198
Pakistan,PAK,2016,30.3801477
Panama,PAN,2016,64.35142364
Papua New Guinea,PNG,2016,96.17131348
Paraguay,PRY,2016,67.65802009
Peru,PER,2016,80.26194035
Philippines,PHL,2016,65.38502875
Poland,POL,2016,75.33998743
Portugal,PRT,2016,83.83354154
Puerto Rico,PRI,2016,64.93725721
Qatar,QAT,2016,58.62740581
Romania,ROU,2016,70.18844965
Russian Federation,RUS,2016,77.93723984
Rwanda,RWA,2016,80.90452261
Samoa,WSM,2016,61.21115585
Sao Tome and Principe,STP,2016,90.24216524
Saudi Arabia,SAU,2016,27.35698751
Senegal,SEN,2016,59.47857367
Serbia,SRB,2016,72.03227685
Sierra Leone,SLE,2016,96.10124551
Singapore,SGP,2016,79.61688312
Slovak Republic,SVK,2016,76.5244172
Slovenia,SVN,2016,82.88672544
Solomon Islands,SLB,2016,95.72897565
Somalia,SOM,2016,44.00344039
South Africa,ZAF,2016,78.40912585
South Sudan,SSD,2016,94.48365772
Spain,ESP,2016,81.0585988
Sri Lanka,LKA,2016,47.92717999
St. Lucia,LCA,2016,84.38546595
St. Vincent and the Grenadines,VCT,2016,71.08572335
Sudan,SDN,2016,34.93341314
Suriname,SUR,2016,66.56966279
Sweden,SWE,2016,89.96569596
Switzerland,CHE,2016,83.95374197
Syrian Arab Republic,SYR,2016,20.112168
Tajikistan,TJK,2016,60.10907529
Tanzania,TZA,2016,91.08397571
Thailand,THA,2016,78.37067837
Timor-Leste,TLS,2016,84.69642783
Togo,TGO,2016,91.7929522
Tonga,TON,2016,63.5216231
Trinidad and Tobago,TTO,2016,69.67177947
Tunisia,TUN,2016,37.40602582
